atan-problem-2-weakT-chunk-0024.smt2: "0.0000511400000000":str
atan-problem-2-weakT-chunk-0027.smt2: "0.0002409600000000":str
atan-problem-2-weakT-chunk-0028.smt2: "0.0002248210000000":str
atan-problem-2-weakT-chunk-0030.smt2: "0.0002774280000000":str
atan-problem-2-weakT-chunk-0031.smt2: "0.0001792000000000":str
atan-problem-2-weakT-chunk-0034.smt2: "0.0002939850000000":str
atan-problem-2-weakT-chunk-0037.smt2: "0.0002065860000000":str
atan-problem-2-weakT-chunk-0039.smt2: "0.0001809470000000":str
atan-problem-2-weakT-chunk-0042.smt2: "0.0002463390000000":str
atan-problem-2-weakT-chunk-0055.smt2: "0.0002512290000000":str
atan-problem-2-weakT-chunk-0056.smt2: "0.0001208640000000":str
atan-problem-2-weakT-chunk-0059.smt2: "0.0004673870000000":str
atan-vega-3-chunk-0009.smt2: "0.1060393390000000":str
atan-vega-3-chunk-0012.smt2: "0.1112685540000000":str
atan-vega-3-chunk-0015.smt2: "0.0884326140000000":str
atan-vega-3-chunk-0017.smt2: "0.0886816080000000":str
atan-vega-3-chunk-0018.smt2: "0.0886019660000000":str
atan-vega-3-chunk-0020.smt2: "0.0997093280000000":str
atan-vega-3-chunk-0025.smt2: "0.0948723780000000":str
atan-vega-3-chunk-0026.smt2: "0.0928601610000000":str
atan-vega-3-chunk-0028.smt2: "0.0923681800000000":str
atan-vega-3-chunk-0030.smt2: "0.0911509440000000":str
atan-vega-3-chunk-0035.smt2: "0.0941014310000000":str
atan-vega-3-chunk-0043.smt2: "0.0865330170000000":str
atan-vega-3-chunk-0055.smt2: "0.0000520490000000":str
atan-vega-3-chunk-0059.smt2: "0.0002496930000000":str
atan-vega-3-chunk-0060.smt2: "0.0000362590000000":str
atan-vega-3-chunk-0064.smt2: "0.1027469810000000":str
atan-vega-3-chunk-0067.smt2: "0.0938107950000000":str
atan-vega-3-chunk-0069.smt2: "0.0917322700000000":str
atan-vega-3-chunk-0071.smt2: "0.0926603430000000":str
atan-vega-3-chunk-0077.smt2: "0.0947272710000000":str
atan-vega-3-chunk-0087.smt2: "0.0951389810000000":str
atan-vega-3-chunk-0092.smt2: "0.0001265240000000":str
atan-vega-3-chunk-0093.smt2: "0.0001199560000000":str
atan-vega-3-chunk-0094.smt2: "0.0001760580000000":str
atan-vega-3-chunk-0095.smt2: "0.0002573090000000":str
atan-vega-3-chunk-0097.smt2: "0.0875467150000000":str
atan-vega-3-chunk-0098.smt2: "0.0002788280000000":str
atan-vega-3-chunk-0102.smt2: "0.0003469450000000":str
atan-vega-3-chunk-0107.smt2: "0.0886177300000000":str
atan-vega-3-chunk-0111.smt2: "0.0001832540000000":str
atan-vega-3-chunk-0115.smt2: "0.0890568900000000":str
