atan-problem-2-weak-chunk-0134.smt2: "0.0915053210000000":str
atan-problem-2-weak-chunk-0137.smt2: "1.4137887080000000":str
atan-problem-2-weak-chunk-0140.smt2: "0.0955261570000000":str
atan-problem-2-weak-chunk-0143.smt2: "0.0926845510000000":str
atan-problem-2-weak-chunk-0155.smt2: "0.0992618360000000":str
atan-problem-2-weak-chunk-0156.smt2: "0.0004742410000000":str
atan-problem-2-weak-chunk-0158.smt2: "0.0951159590000000":str
atan-problem-2-weak-chunk-0164.smt2: "0.0952781920000000":str
atan-problem-2-weak-chunk-0166.smt2: "0.0922896340000000":str
atan-problem-2-weak-chunk-0169.smt2: "0.0951908870000000":str
atan-problem-2-weak-chunk-0174.smt2: "0.0962054420000000":str
atan-problem-2-weak-chunk-0178.smt2: "0.0971284300000000":str
atan-problem-2-weak-chunk-0179.smt2: "0.0888425500000000":str
atan-problem-2-weak-chunk-0181.smt2: "0.1203065310000000":str
atan-problem-2-weak-chunk-0183.smt2: "0.0973136570000000":str
atan-problem-2-weak-chunk-0186.smt2: "0.0916661890000000":str
atan-problem-2-weak-chunk-0187.smt2: "0.0916717060000000":str
atan-problem-2-weak-chunk-0188.smt2: "0.0947954120000000":str
atan-problem-2-weak-chunk-0191.smt2: "1.4092882090000001":str
atan-problem-2-weak-chunk-0199.smt2: "0.0941038680000000":str
atan-problem-2-weak-chunk-0201.smt2: "0.0976645870000000":str
atan-problem-2-weak-chunk-0214.smt2: "0.0996734230000000":str
atan-problem-2-weak-chunk-0219.smt2: "0.0928720820000000":str
atan-problem-2-weak-chunk-0221.smt2: "0.0940709540000000":str
atan-problem-2-weak-chunk-0224.smt2: "0.0001554730000000":str
atan-problem-2-weak-chunk-0225.smt2: "0.0916954890000000":str
atan-problem-2-weak-chunk-0228.smt2: "0.0002399840000000":str
atan-problem-2-weakT-chunk-0017.smt2: "0.0002443840000000":str
atan-problem-2-weakT-chunk-0020.smt2: "0.0003281280000000":str
atan-problem-2-weakT-chunk-0024.smt2: "0.0001269060000000":str
atan-problem-2-weakT-chunk-0027.smt2: "0.0001730740000000":str
atan-problem-2-weakT-chunk-0028.smt2: "0.0003101070000000":str
atan-problem-2-weakT-chunk-0030.smt2: "0.0002386570000000":str
atan-problem-2-weakT-chunk-0031.smt2: "0.0001878110000000":str
atan-problem-2-weakT-chunk-0034.smt2: "0.0913503210000000":str
atan-problem-2-weakT-chunk-0037.smt2: "0.0002086940000000":str
atan-problem-2-weakT-chunk-0039.smt2: "0.0002004530000000":str
atan-problem-2-weakT-chunk-0042.smt2: "0.0002177730000000":str
atan-problem-2-weakT-chunk-0055.smt2: "0.0002934840000000":str
